customerID,churn_probability,predicted_churn_flag,risk_segment,retention_priority_score,priority_level,customer_value_proxy,intervention_urgency,suggested_action,primary_reason,secondary_reason,reason_type,expected_mechanism,suggested_success_metric,Contract,tenure,MonthlyCharges,TotalCharges,InternetService,PaymentMethod,TechSupport,OnlineSecurity,SupportServiceCount
0295-PPHDO,0.9568299923437151,1,High Risk,85.76,Priority 1,53.89,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,95.45,95.45,Fiber optic,Electronic check,No,No,0
8884-ADFVN,0.9394312990613993,1,High Risk,85.74,Priority 1,60.99,94.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,7,101.95,700.85,Fiber optic,Electronic check,No,No,1
5178-LMXOP,0.9550254690910485,1,High Risk,85.6,Priority 1,53.69,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,95.1,95.1,Fiber optic,Electronic check,No,No,0
6861-XWTWQ,0.939552981568779,1,High Risk,85.32,Priority 1,59.28,94.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,7,99.25,665.45,Fiber optic,Electronic check,No,No,1
9057-SIHCH,0.9421958513852303,1,High Risk,85.07,Priority 1,55.66,97.5,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,3,96.6,291.9,Fiber optic,Electronic check,No,No,0
0655-RBDUG,0.9346961025870297,1,High Risk,84.93,Priority 1,58.88,94.17,Contract-upgrade incentive,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,7,98.05,713.0,Fiber optic,Bank transfer (automatic),No,No,1
3006-XIMLN,0.9366681321753241,1,High Risk,84.39,Priority 1,53.75,98.33,Contract-upgrade incentive,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,2,94.2,193.8,Fiber optic,Bank transfer (automatic),No,No,0
8161-QYMTT,0.9344889194578013,1,High Risk,84.34,Priority 1,56.6,94.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,7,94.1,701.3,Fiber optic,Electronic check,No,No,0
1069-XAIEM,0.9502990649845432,1,High Risk,83.9,Priority 1,48.02,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,85.05,85.05,Fiber optic,Electronic check,No,No,0
6857-VWJDT,0.9193179543311616,1,High Risk,83.53,Priority 1,54.0,99.17,Contract-upgrade incentive,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,1,95.65,95.65,Fiber optic,Mailed check,No,No,0
6328-ZPBGN,0.918771087431226,1,High Risk,83.47,Priority 1,58.89,90.83,Contract-upgrade incentive,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate,Month-to-month,11,95.15,997.65,Fiber optic,Bank transfer (automatic),No,No,0
