feature,importance_mean,importance_std
Contract,0.045869177710609964,0.004808452481196611
tenure,0.015872536102715128,0.0013389874032494892
InternetService,0.013651347231909906,0.005437994564323237
TotalCharges,0.008740861298406077,0.0012292582716031597
TenureGroup,0.007843137254901999,0.0013916456634391445
TechSupport,0.0044516779043633605,0.0010497184798931374
OnlineSecurity,0.00270531400966183,0.0017566255286918847
AvgMonthlySpend,0.0020090934924694936,0.002216279472907883
PaymentMethod,0.0010625435945129879,0.001865883062023828
PaperlessBilling,0.0009077992198197382,0.001963577308650213
Dependents,0.000792838874680335,0.0008223346364957663
Partner,0.0007721718463406191,0.00038356638417812183
SeniorCitizen,0.0005298509390581297,0.0005057806571394496
PhoneService,0.00045751633986925724,0.00028914273193520737
StreamingMovies,0.000294763491694483,0.0010009438098680882
MultipleLines,0.00012529385930919456,0.000552625671843648
gender,-0.0002170037975664174,0.0005187608085656292
StreamingTV,-0.00026014621922549886,0.000796299606256377
DeviceProtection,-0.0004288408380480169,0.00038727765406466457
OnlineBackup,-0.00044408277144845074,0.001976007215346397
SupportServiceCount,-0.0007163708698235682,0.0005335027592765848
MonthlyCharges,-0.00132423984086385,0.002608159631760362
