customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,TenureGroup,AvgMonthlySpend,SupportServiceCount,actual_churn_flag,predicted_churn_flag,churn_probability,risk_segment,customer_value_proxy,intervention_urgency,retention_priority_score,priority_level,primary_reason,secondary_reason,reason_type,suggested_action,expected_mechanism,suggested_success_metric
0295-PPHDO,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,95.45,0-12 Months,95.45,0,1,1,0.9568299923437151,High Risk,53.89,99.17,85.76,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
8884-ADFVN,Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.95,700.85,0-12 Months,100.12142857142858,1,1,1,0.9394312990613993,High Risk,60.99,94.17,85.74,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
5178-LMXOP,Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,95.1,0-12 Months,95.1,0,1,1,0.9550254690910485,High Risk,53.69,99.17,85.6,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
6861-XWTWQ,Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.25,665.45,0-12 Months,95.06428571428572,1,1,1,0.939552981568779,High Risk,59.28,94.17,85.32,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
9057-SIHCH,Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.6,291.9,0-12 Months,97.3,0,1,1,0.9421958513852303,High Risk,55.66,97.5,85.07,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
0655-RBDUG,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.05,713.0,0-12 Months,101.85714285714286,1,1,1,0.9346961025870297,High Risk,58.88,94.17,84.93,Priority 1,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
3006-XIMLN,Female,0,No,Yes,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.2,193.8,0-12 Months,96.9,0,1,1,0.9366681321753241,High Risk,53.75,98.33,84.39,Priority 1,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
8161-QYMTT,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.1,701.3,0-12 Months,100.18571428571428,0,0,1,0.9344889194578013,High Risk,56.6,94.17,84.34,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
1069-XAIEM,Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.05,85.05,0-12 Months,85.05,0,1,1,0.9502990649845432,High Risk,48.02,99.17,83.9,Priority 1,Tenure of 12 months or less,Electronic-check payment,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
6857-VWJDT,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.65,95.65,0-12 Months,95.65,0,1,1,0.9193179543311616,High Risk,54.0,99.17,83.53,Priority 1,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
6328-ZPBGN,Female,1,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.15,997.65,0-12 Months,90.69545454545454,0,1,1,0.918771087431226,High Risk,58.89,90.83,83.47,Priority 1,Tenure of 12 months or less,Month-to-month contract,Observed risk indicators,Contract-upgrade incentive,Encourage a longer commitment while reducing avoidable switching friction.,Contract conversion rate and 90-day retained rate
