model,threshold,precision,recall,f1_score,pr_auc,false_positives,false_negatives,customers_flagged,flagged_percentage,selection_score,selection_eligible,selected
dummy_classifier,0.25,0.2654,1.0,0.4195,0.2654,1035,0,1409,1.0,0.532,False,False
dummy_classifier,0.3,0.0,0.0,0.0,0.2654,0,374,0,0.0,0.0664,False,False
dummy_classifier,0.35,0.0,0.0,0.0,0.2654,0,374,0,0.0,0.0664,False,False
dummy_classifier,0.4,0.0,0.0,0.0,0.2654,0,374,0,0.0,0.0664,False,False
dummy_classifier,0.45,0.0,0.0,0.0,0.2654,0,374,0,0.0,0.0664,False,False
dummy_classifier,0.5,0.0,0.0,0.0,0.2654,0,374,0,0.0,0.0664,False,False
dummy_classifier,0.55,0.0,0.0,0.0,0.2654,0,374,0,0.0,0.0664,False,False
dummy_classifier,0.6,0.0,0.0,0.0,0.2654,0,374,0,0.0,0.0664,False,False
dummy_classifier,0.65,0.0,0.0,0.0,0.2654,0,374,0,0.0,0.0664,False,False
dummy_classifier,0.7,0.0,0.0,0.0,0.2654,0,374,0,0.0,0.0664,False,False
logistic_regression,0.25,0.5034,0.7995,0.6178,0.6463,295,75,594,0.4216,0.6623,True,False
logistic_regression,0.3,0.5286,0.7406,0.6169,0.6463,247,97,524,0.3719,0.6481,True,False
logistic_regression,0.35,0.5629,0.7059,0.6263,0.6463,205,110,469,0.3329,0.6457,True,False
logistic_regression,0.4,0.6034,0.6551,0.6282,0.6463,161,129,406,0.2881,0.6371,True,False
logistic_regression,0.45,0.6348,0.5856,0.6092,0.6463,126,155,345,0.2449,0.6152,True,False
logistic_regression,0.5,0.6667,0.5241,0.5868,0.6463,98,178,294,0.2087,0.5949,True,False
logistic_regression,0.55,0.6992,0.4599,0.5548,0.6463,74,202,246,0.1746,0.5709,True,False
logistic_regression,0.6,0.731,0.385,0.5044,0.6463,53,230,197,0.1398,0.5381,True,False
logistic_regression,0.65,0.7292,0.2807,0.4054,0.6463,39,269,144,0.1022,0.4768,True,False
logistic_regression,0.7,0.7525,0.2032,0.32,0.6463,25,298,101,0.0717,0.4314,True,False
balanced_logistic_regression,0.25,0.3998,0.9225,0.5578,0.6481,518,29,863,0.6125,0.6661,False,False
balanced_logistic_regression,0.3,0.4159,0.9118,0.5712,0.6481,479,33,820,0.582,0.6693,False,False
balanced_logistic_regression,0.35,0.431,0.877,0.578,0.6481,433,46,761,0.5401,0.6632,False,False
balanced_logistic_regression,0.4,0.4603,0.8529,0.5979,0.6481,374,55,693,0.4918,0.6663,True,False
balanced_logistic_regression,0.45,0.4857,0.8155,0.6088,0.6481,323,69,628,0.4457,0.6622,True,False
balanced_logistic_regression,0.5,0.514,0.7861,0.6216,0.6481,278,80,572,0.406,0.6614,True,False
balanced_logistic_regression,0.55,0.5337,0.7406,0.6204,0.6481,242,97,519,0.3683,0.6504,True,False
balanced_logistic_regression,0.6,0.5588,0.7112,0.6259,0.6481,210,108,476,0.3378,0.647,True,False
balanced_logistic_regression,0.65,0.6079,0.6551,0.6306,0.6481,158,129,403,0.286,0.6389,True,False
balanced_logistic_regression,0.7,0.6439,0.5802,0.6104,0.6481,120,157,337,0.2392,0.6158,True,False
random_forest,0.25,0.4339,0.8957,0.5846,0.6389,437,39,772,0.5479,0.6689,False,False
random_forest,0.3,0.4629,0.8663,0.6034,0.6389,376,50,700,0.4968,0.6701,True,True
random_forest,0.35,0.4836,0.8262,0.6101,0.6389,330,65,639,0.4535,0.6632,True,False
random_forest,0.4,0.5094,0.7995,0.6223,0.6389,288,75,587,0.4166,0.6627,True,False
random_forest,0.45,0.5388,0.762,0.6312,0.6389,244,89,529,0.3754,0.6585,True,False
random_forest,0.5,0.5662,0.7086,0.6295,0.6389,203,109,468,0.3322,0.6461,True,False
random_forest,0.55,0.602,0.6551,0.6274,0.6389,162,129,407,0.2889,0.6348,True,False
random_forest,0.6,0.6366,0.6043,0.62,0.6389,129,148,355,0.252,0.6225,True,False
random_forest,0.65,0.661,0.516,0.5796,0.6389,99,181,292,0.2072,0.5876,True,False
random_forest,0.7,0.6726,0.4011,0.5025,0.6389,73,224,223,0.1583,0.5317,True,False
xgboost,0.25,0.4975,0.7834,0.6085,0.6443,296,81,589,0.418,0.6533,True,False
xgboost,0.3,0.5377,0.7433,0.624,0.6443,239,96,517,0.3669,0.6519,True,False
xgboost,0.35,0.5806,0.7032,0.636,0.6443,190,111,453,0.3215,0.6499,True,False
xgboost,0.4,0.6189,0.6471,0.6327,0.6443,149,132,391,0.2775,0.6378,True,False
xgboost,0.45,0.6221,0.5722,0.5961,0.6443,130,160,344,0.2441,0.6049,True,False
xgboost,0.5,0.6564,0.5107,0.5744,0.6443,100,183,291,0.2065,0.5851,True,False
xgboost,0.55,0.6749,0.4385,0.5316,0.6443,79,210,243,0.1725,0.5533,True,False
xgboost,0.6,0.698,0.377,0.4896,0.6443,61,233,202,0.1434,0.5258,True,False
xgboost,0.65,0.7375,0.3155,0.4419,0.6443,42,256,160,0.1136,0.4989,True,False
xgboost,0.7,0.7538,0.262,0.3889,0.6443,32,276,130,0.0923,0.4694,True,False
